Ticker,Date,compound,neg,neu,pos
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,-0.4019,0.197,0.803,0.0
AMC,2021-04-05,0.5688,0.0,0.818,0.182
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.4019,0.0,0.426,0.574
AMC,2021-04-05,0.6808,0.135,0.608,0.257
AMC,2021-04-05,0.34,0.0,0.789,0.211
AMC,2021-04-05,0.3716,0.068,0.795,0.137
AMC,2021-04-05,0.5251,0.065,0.769,0.165
AMC,2021-04-05,0.7351,0.0,0.592,0.408
AMC,2021-04-05,0.3919,0.0,0.872,0.128
AMC,2021-04-05,0.5622,0.1,0.635,0.265
AMC,2021-04-05,0.5106,0.0,0.619,0.381
AMC,2021-04-05,0.34,0.0,0.745,0.255
AMC,2021-04-05,-0.5574,0.231,0.769,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,-0.0516,0.085,0.915,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.4404,0.0,0.674,0.326
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.4404,0.0,0.884,0.116
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.0,0.0,1.0,0.0
AMC,2021-04-05,0.1154,0.0,0.925,0.075
AMC,2021-04-05,0.0,0.0,1.0,0.0
SOS,2021-04-09,-0.3305,0.32,0.68,0.0
SOS,2021-04-09,0.296,0.0,0.732,0.268
SOS,2021-04-09,0.0,0.0,1.0,0.0
SOS,2021-04-09,0.0,0.0,1.0,0.0
SOS,2021-04-09,-0.2263,0.655,0.345,0.0
SOS,2021-04-08,0.0,0.0,1.0,0.0
SOS,2021-04-08,0.0,0.0,1.0,0.0
SOS,2021-04-08,0.0,0.0,1.0,0.0
SOS,2021-04-08,0.0,0.0,1.0,0.0
SOS,2021-04-08,0.0,0.0,1.0,0.0
SOS,2021-04-08,0.0,0.0,1.0,0.0
SOS,2021-04-08,0.5106,0.0,0.548,0.452
SOS,2021-04-08,0.0,0.0,1.0,0.0
SOS,2021-04-08,0.5994,0.0,0.449,0.551
SOS,2021-04-08,0.296,0.0,0.784,0.216
SOS,2021-04-08,0.0,0.0,1.0,0.0
SOS,2021-04-08,0.0,0.0,1.0,0.0
SOS,2021-04-08,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.2732,0.0,0.704,0.296
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,-0.5106,0.767,0.233,0.0
SOS,2021-04-07,0.4939,0.0,0.556,0.444
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.5499,0.0,0.818,0.182
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0688,0.21,0.559,0.231
SOS,2021-04-07,0.8859,0.033,0.742,0.225
SOS,2021-04-07,-0.4019,0.122,0.816,0.061
SOS,2021-04-07,-0.2263,0.388,0.612,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,-0.2263,0.388,0.612,0.0
SOS,2021-04-07,0.3898,0.0,0.901,0.099
SOS,2021-04-07,0.507,0.0,0.709,0.291
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.5106,0.0,0.377,0.623
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,-0.2263,0.213,0.787,0.0
SOS,2021-04-07,-0.2732,0.228,0.621,0.152
SOS,2021-04-07,-0.7749,0.168,0.796,0.037
SOS,2021-04-07,-0.5267,0.167,0.833,0.0
SOS,2021-04-07,-0.5267,0.167,0.833,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.296,0.0,0.577,0.423
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,-0.5267,0.167,0.833,0.0
SOS,2021-04-06,-0.4404,0.326,0.674,0.0
SOS,2021-04-06,0.0,0.0,1.0,0.0
SOS,2021-04-06,0.3612,0.0,0.783,0.217
SOS,2021-04-06,0.0,0.0,1.0,0.0
SOS,2021-04-06,0.0,0.0,1.0,0.0
SOS,2021-04-06,0.5106,0.0,0.645,0.355
SOS,2021-04-06,-0.2263,0.192,0.808,0.0
SOS,2021-04-06,-0.34,0.324,0.676,0.0
SOS,2021-04-06,0.0,0.0,1.0,0.0
SOS,2021-04-06,0.0,0.0,1.0,0.0
SOS,2021-04-06,-0.6597,0.355,0.645,0.0
SOS,2021-04-05,0.0,0.0,1.0,0.0
SOS,2021-04-05,0.0,0.0,1.0,0.0
PLTR,2021-04-09,0.8889,0.0,0.743,0.257
PLTR,2021-04-09,-0.5423,0.179,0.821,0.0
PLTR,2021-04-09,0.7987,0.0,0.575,0.425
PLTR,2021-04-09,0.0,0.0,1.0,0.0
PLTR,2021-04-09,0.2577,0.114,0.698,0.188
PLTR,2021-04-09,0.0,0.0,1.0,0.0
PLTR,2021-04-09,0.0,0.0,1.0,0.0
PLTR,2021-04-09,0.2732,0.0,0.656,0.344
PLTR,2021-04-09,0.4745,0.0,0.729,0.271
PLTR,2021-04-09,0.2235,0.0,0.809,0.191
PLTR,2021-04-08,0.0,0.0,1.0,0.0
PLTR,2021-04-08,0.0,0.0,1.0,0.0
PLTR,2021-04-08,0.2732,0.0,0.656,0.344
PLTR,2021-04-08,0.6908,0.0,0.513,0.487
PLTR,2021-04-08,0.0,0.0,1.0,0.0
PLTR,2021-04-08,0.1513,0.098,0.755,0.148
PLTR,2021-04-07,0.8986,0.0,0.537,0.463
PLTR,2021-04-07,0.0,0.0,1.0,0.0
PLTR,2021-04-07,0.6908,0.0,0.513,0.487
PLTR,2021-04-07,0.8986,0.0,0.537,0.463
PLTR,2021-04-07,0.7184,0.068,0.685,0.247
PLTR,2021-04-07,0.4019,0.0,0.769,0.231
PLTR,2021-04-07,0.0,0.0,1.0,0.0
PLTR,2021-04-07,0.0,0.0,1.0,0.0
PLTR,2021-04-07,0.1779,0.084,0.803,0.112
PLTR,2021-04-06,0.0,0.0,1.0,0.0
PLTR,2021-04-06,-0.34,0.167,0.833,0.0
PLTR,2021-04-06,0.0,0.0,1.0,0.0
PLTR,2021-04-06,0.2732,0.0,0.656,0.344
PLTR,2021-04-06,-0.296,0.196,0.804,0.0
PLTR,2021-04-06,0.0,0.0,1.0,0.0
PLTR,2021-04-06,0.0,0.0,1.0,0.0
PLTR,2021-04-06,0.4278,0.0,0.779,0.221
PLTR,2021-04-06,0.0,0.0,1.0,0.0
PLTR,2021-04-06,0.6739,0.0,0.783,0.217
PLTR,2021-04-05,0.0,0.0,1.0,0.0
PLTR,2021-04-05,0.6808,0.135,0.608,0.257
PLTR,2021-04-05,0.6249,0.0,0.611,0.389
PLTR,2021-04-05,0.0,0.0,1.0,0.0
PLTR,2021-04-05,0.0,0.0,1.0,0.0
PLTR,2021-04-05,0.4404,0.0,0.791,0.209
PLTR,2021-04-05,-0.7184,0.412,0.588,0.0
