Date,Ticker,compound,neg,neu,pos
2021-04-11,AMC,0.3182,0.0,0.723,0.277
2021-04-11,AMC,0.5719,0.0,0.824,0.176
2021-04-11,AMC,0.6526,0.0,0.709,0.291
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.34,0.0,0.893,0.107
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.6486,0.462,0.538,0.0
2021-04-11,AMC,0.2023,0.0,0.909,0.091
2021-04-11,AMC,0.7964,0.09,0.627,0.283
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.5667,0.182,0.818,0.0
2021-04-11,AMC,-0.4767,0.233,0.645,0.122
2021-04-11,AMC,-0.1169,0.098,0.827,0.075
2021-04-11,AMC,-0.7184,0.294,0.601,0.104
2021-04-11,AMC,0.3612,0.0,0.878,0.122
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.7269,0.319,0.681,0.0
2021-04-11,AMC,0.3612,0.0,0.889,0.111
2021-04-11,AMC,0.7269,0.0,0.775,0.225
2021-04-11,AMC,0.6808,0.0,0.789,0.211
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.6281,0.044,0.783,0.173
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.4767,0.233,0.645,0.122
2021-04-11,AMC,-0.5574,0.153,0.847,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.8625,0.0,0.676,0.324
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.6486,0.462,0.538,0.0
2021-04-11,AMC,0.6908,0.0,0.778,0.222
2021-04-11,AMC,0.8225,0.0,0.542,0.458
2021-04-11,AMC,0.5994,0.0,0.755,0.245
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.6486,0.462,0.538,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.8779,0.0,0.59,0.41
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.6486,0.177,0.823,0.0
2021-04-11,AMC,-0.6486,0.462,0.538,0.0
2021-04-11,AMC,0.8176,0.0,0.681,0.319
2021-04-11,AMC,0.7783,0.0,0.658,0.342
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.1027,0.154,0.714,0.132
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.7351,0.0,0.721,0.279
2021-04-11,AMC,-0.1531,0.103,0.816,0.082
2021-04-11,AMC,0.7506,0.0,0.619,0.381
2021-04-11,AMC,-0.7589,0.715,0.285,0.0
2021-04-11,AMC,-0.4767,0.233,0.645,0.122
2021-04-11,AMC,0.1027,0.135,0.706,0.159
2021-04-11,AMC,0.7506,0.0,0.598,0.402
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.2023,0.0,0.899,0.101
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.2732,0.091,0.909,0.0
2021-04-11,AMC,-0.6914,0.322,0.678,0.0
2021-04-11,AMC,0.7184,0.09,0.634,0.276
